,,bcc,,,,,,,,,,,,,,,,,,resp,,,,,,,,,,,,,,,,,
Compound,Temperature,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD
cyclopropane,75,1163.07,755.821,1689.3,422.561,2045.77,532.398,854.068,0.45883,32.0232,0.070035,55.5268,1.77118,22.2565,1.77256,162499,-0,0.976592,0.0149728,1439.22,631.526,2792.08,421.538,2893.52,472.421,860.23,0.391247,70.3423,0.0675632,94.3396,1.70527,22.7502,1.70661,162459,0,0.979434,0.013948
cyclopropane,85,1558.68,780.882,2099.33,502.65,2380,562.149,845.724,0.334443,33.0171,0.077038,55.8313,1.93954,21.4008,1.94107,163115,0,0.966562,0.0314318,1890.63,603.262,3325.57,397.682,3401.24,449.853,851.77,0.605352,71.3341,0.0783622,95.139,1.99671,22.3915,1.99825,163102,0,0.973175,0.0181972
cyclopropane,94,1607.78,748.709,2290.86,491.305,2585.11,580.144,838.467,0.736507,33.9364,0.0860426,56.746,2.20123,21.2465,2.20291,163667,0.0002,0.939372,0.0899623,1744.42,727.629,3191.89,502.468,3241.56,553.666,845.927,0.668556,72.2134,0.0859104,95.5774,2.1413,21.8009,2.14302,163313,0,0.968785,0.0336674
cyclopropane,95,2047.32,765.637,2776.48,538.372,3016.53,591.005,835.184,0.854622,34.0881,0.0866646,56.6426,2.11545,20.9748,2.11722,163523,0.0005,0.889664,0.118623,2409.29,648.667,3993.8,524.623,4021.61,562.183,844.072,0.819204,72.3366,0.0866834,95.5364,2.15788,21.6201,2.15962,163465,0,0.965359,0.0450983
cyclopropane,105,2785.1,769.019,3668.63,621.086,3823.14,661.877,771.859,1.16573,37.6149,0.0979727,57.1418,2.37501,17.7809,2.37703,164464,0.0001,0.000119222,0.142313,2732,701.036,4460.64,542.65,4447.1,611.859,835.191,0.820281,73.3854,0.0973997,96.2957,2.41003,21.1643,2.412,163674,0.0005,0.893622,0.116854
cyclopropane,108,2890.56,797.063,3922.67,685.277,4053.03,724.528,768.937,0.978211,37.9346,0.096292,57.3582,2.4568,17.6277,2.45869,164534,0,0.000493812,0.142551,2841.5,720.605,4584.31,607.897,4547.54,647.137,831.302,0.742877,73.7386,0.100761,96.4776,2.45777,20.9431,2.45983,164162,0.001,0.815521,0.133126
cyclopropane,115,3445.17,848.341,4596.12,751.487,4667.13,789.78,761.101,1.06727,38.6876,0.101435,57.84,2.54364,17.2401,2.54566,164981,0.0001,-0.00100623,0.142715,3450.21,723.154,5385.36,528.849,5281.83,567.736,813.676,15.9465,75.102,0.919987,97.0602,2.63916,20.0459,2.79491,164698,0.0042,0.000317824,0.142597
cyclopropane,117,3565.75,873.343,4644.55,722.731,4700.13,726.687,760.195,0.862921,38.8808,0.103071,58.0894,2.69767,17.2631,2.69964,164887,0,-0.000305729,0.142526,3378.13,748.885,5304.35,579.286,5208.99,617.327,763.097,1.35247,77.5776,0.108304,96.8734,2.69462,17.3503,2.6968,164807,0.0001,2.15569e-06,0.142707
cyclopropane,125,3957.05,906.46,5344.99,808.025,5348.17,804.001,735.98,1.32325,40.2372,0.111856,58.306,2.83202,15.9903,2.83423,165964,0.6394,-0.000558124,0.142408,3923.75,717.952,5913.28,550.872,5772.48,617.172,754.764,1.3969,78.4297,0.113118,97.7189,2.85039,17.2107,2.85263,165074,0,-8.77046e-05,0.14257
