#Compound|Nsolid|Tmin|Tmax|DeltaT|T_density|T_Hsub|T_m|T_LS_20|T_LS_30|T_exp|P_exp|
cyclopropane|840|75|175|10|145|145|175|108|117|94|1|
ethyne|1372|142|192|10|188|142|192|209|227|131|1|
furan|1024|98|188|10|152|180|188|225|244|123|1|
formaldehyde|1024|81|181|10|181|181|181|196|213|148|1|
urea|1152|293|406|10|293|295|406|526|570|295|1|
123-benzenetriol|1700|0|0|1|277|295|403|445|482|100|1|
12-benzenediol|1584|0|0|1|293|300|377|467|506|100|1|
14-benzoquinone|1152|0|0|1|293|280|388|481|521|173|1|
acetamide|1800|0|0|1|354|300|354|374|405|295|1|
acooh|1536|0|0|1|289|239|290|329|356|278|1|
benzene|1536|0|0|1|279|270|279|271|293|218|1|
cyclohexane|1260|0|0|1|93|260|280|266|288|115|1|
ethane|1408|0|0|1|90|90|100|111|120|85|1|
ethanol|1600|0|0|1|159|159|159|200|216|87|1|
12-ethanediamine|1260|0|0|1|284|263|284|275|298|243|1|
ethylene|1134|0|0|1|104|90|104|128|138|85|1|
ethyleneglycol|1260|0|0|1|260|260|260|261|283|130|1|
formamide|1056|0|0|1|223|270|298|361|391|296|8800|
formic_acid|1536|0|0|1|282|270|282|298|323|98|1|
imidazole|1680|0|0|1|374|300|364|349|378|173|1|
menh2|1176|0|0|1|179|179|180|289|313|123|123|1|
methanol|1024|0|0|1|163|175|176|226|245|122|1|
naphthalene|1134|0|0|1|353|295|353|421|456|295|5100|
octanoic_acid|1456|0|0|1|289|289|289|344|372|170|1|
pentane|1344|0|0|1|143|143|143|205|222|90|1|
phenol|1680|0|0|1|314|290|314|323|350|123|1|
propane|1344|0|0|1|85|86|85|108|117|30|1|
pyridine|1440|0|0|1|231|231|232|292|317|153|1|
succinic_acid|1200|0|0|1|298|295|495|470|509|298|1|
uracil|1400|0|0|1|298|425|611|907|983|295|1|
